Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,SymbolYahoo
DG,DOLLAR GENERAL CORP,Consumer Staples,Equity,"4,231,570.90",0.02,"4,231,570.90","52,994.00",79.85,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,DG
PKG,PACKAGING CORP OF AMERICA,Materials,Equity,"4,188,561.00",0.02,"4,188,561.00","21,100.00",198.51,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,PKG
DOCU,DOCUSIGN INC,Information Technology,Equity,"4,179,843.00",0.02,"4,179,843.00","50,100.00",83.43,United States,NASDAQ,USD,1.00,USD,-,DOCU
ULTA,ULTA BEAUTY INC,Consumer Discretionary,Equity,"4,174,641.06",0.02,"4,174,641.06","11,694.00",356.99,United States,NASDAQ,USD,1.00,USD,-,ULTA
BAX,BAXTER INTERNATIONAL INC,Health Care,Equity,"4,156,629.20",0.02,"4,156,629.20","119,272.00",34.85,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,BAX
KER,KERING SA,Consumer Discretionary,Equity,"4,154,609.81",0.02,"4,154,609.81","17,498.00",237.43,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,KER.PA
TRU,TRANSUNION,Industrials,Equity,"4,150,501.92",0.02,"4,150,501.92","48,408.00",85.74,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,TRU
FDS,FACTSET RESEARCH SYSTEMS INC,Financials,Equity,"4,119,960.15",0.02,"4,119,960.15","9,371.00",439.65,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,FDS
CSL,CARLISLE COMPANIES INC,Industrials,Equity,"4,100,900.28",0.02,"4,100,900.28","11,964.00",342.77,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,CSL
IBKR,INTERACTIVE BROKERS GROUP INC CLAS,Financials,Equity,"4,099,969.60",0.02,"4,099,969.60","23,509.00",174.40,United States,NASDAQ,USD,1.00,USD,-,IBKR
JBL,JABIL INC,Information Technology,Equity,"4,071,917.20",0.02,"4,071,917.20","29,432.00",138.35,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,JBL
ARE,ALEXANDRIA REAL ESTATE EQUITIES RE,Real Estate,Equity,"4,061,610.24",0.02,"4,061,610.24","40,812.00",99.52,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,ARE
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,Equity,"4,049,624.16",0.02,"4,049,624.16","17,496.00",231.46,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,WST
DKNG,DRAFTKINGS INC CLASS A,Consumer Discretionary,Equity,"4,022,768.91",0.02,"4,022,768.91","103,867.00",38.73,United States,NASDAQ,USD,1.00,USD,-,DKNG
TSN,TYSON FOODS INC CLASS A,Consumer Staples,Equity,"4,020,207.09",0.02,"4,020,207.09","66,351.00",60.59,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,TSN
NI,NISOURCE INC,Utilities,Equity,"4,001,849.28",0.02,"4,001,849.28","101,673.00",39.36,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,NI
TW,TRADEWEB MARKETS INC CLASS A,Financials,Equity,"3,977,833.86",0.02,"3,977,833.86","28,098.00",141.57,United States,NASDAQ,USD,1.00,USD,-,TW
STMPA,STMICROELECTRONICS NV,Information Technology,Equity,"3,973,357.25",0.02,"3,973,357.25","158,696.00",25.04,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,STMPA.PA
FFIV,F5 INC,Information Technology,Equity,"3,958,260.00",0.02,"3,958,260.00","14,800.00",267.45,United States,NASDAQ,USD,1.00,USD,-,FFIV
APTV,APTIV PLC,Consumer Discretionary,Equity,"3,945,571.70",0.02,"3,945,571.70","62,978.00",62.65,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,APTV
OMC,OMNICOM GROUP INC,Communication,Equity,"3,936,466.60",0.02,"3,936,466.60","49,022.00",80.30,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,OMC
COO,COOPER INC,Health Care,Equity,"3,934,049.21",0.02,"3,934,049.21","49,231.00",79.91,United States,NASDAQ,USD,1.00,USD,-,COO
RS,RELIANCE STEEL & ALUMINUM,Materials,Equity,"3,919,144.92",0.02,"3,919,144.92","14,026.00",279.42,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,RS
BALL,BALL CORP,Materials,Equity,"3,916,242.52",0.02,"3,916,242.52","74,909.00",52.28,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,BALL
PSTG,PURE STORAGE INC CLASS A,Information Technology,Equity,"3,914,738.01",0.02,"3,914,738.01","77,229.00",50.69,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,PSTG
GEN,GEN DIGITAL INC,Information Technology,Equity,"3,884,155.95",0.02,"3,884,155.95","139,467.00",27.85,United States,NASDAQ,USD,1.00,USD,-,GEN
CYBR,CYBER ARK SOFTWARE LTD,Information Technology,Equity,"3,878,395.80",0.02,"3,878,395.80","11,195.00",346.44,Israel,NASDAQ,USD,1.00,USD,-,CYBR
GLPI,GAMING AND LEISURE PROPERTIES REIT,Real Estate,Equity,"3,870,613.50",0.02,"3,870,613.50","76,570.00",50.55,United States,NASDAQ,USD,1.00,USD,-,GLPI
PNR,PENTAIR,Industrials,Equity,"3,868,081.58",0.02,"3,868,081.58","44,374.00",87.17,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,PNR
MAS,MASCO CORP,Industrials,Equity,"3,861,111.17",0.02,"3,861,111.17","54,313.00",71.09,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,MAS
TWLO,TWILIO INC CLASS A,Information Technology,Equity,"3,851,727.60",0.02,"3,851,727.60","38,360.00",100.41,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,TWLO
EVRG,EVERGY INC,Utilities,Equity,"3,847,836.68",0.02,"3,847,836.68","56,887.00",67.64,United States,NASDAQ,USD,1.00,USD,-,EVRG
DPZ,DOMINOS PIZZA INC,Consumer Discretionary,Equity,"3,845,878.40",0.02,"3,845,878.40","8,554.00",449.60,United States,NASDAQ,USD,1.00,USD,-,DPZ
BEKE,KE HOLDINGS ADR REPRESENTING INC,Real Estate,Equity,"3,826,149.73",0.02,"3,826,149.73","152,497.00",25.09,China,New York Stock Exchange Inc.,USD,1.00,USD,-,BEKE
EXPD,EXPEDITORS INTERNATIONAL OF WASHIN,Industrials,Equity,"3,811,875.20",0.02,"3,811,875.20","32,608.00",116.90,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,EXPD
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,Equity,"3,788,261.10",0.02,"3,788,261.10","54,990.00",68.89,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,EL
BAH,BOOZ ALLEN HAMILTON HOLDING CORP C,Industrials,Equity,"3,778,423.06",0.02,"3,778,423.06","32,759.00",115.34,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,BAH
AVY,AVERY DENNISON CORP,Materials,Equity,"3,746,263.40",0.02,"3,746,263.40","20,845.00",179.72,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,AVY
BLDR,BUILDERS FIRSTSOURCE INC,Industrials,Equity,"3,730,318.35",0.02,"3,730,318.35","29,109.00",128.15,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,BLDR
HEIA,HEICO CORP CLASS A,Industrials,Equity,"3,727,166.64",0.02,"3,727,166.64","18,079.00",206.16,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,HEI-A
BBY,BEST BUY INC,Consumer Discretionary,Equity,"3,695,581.92",0.02,"3,695,581.92","50,096.00",73.77,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,BBY
ENTG,ENTEGRIS INC,Information Technology,Equity,"3,693,009.60",0.02,"3,693,009.60","36,637.00",100.80,United States,NASDAQ,USD,1.00,USD,-,ENTG
ROL,ROLLINS INC,Industrials,Equity,"3,686,139.80",0.02,"3,686,139.80","71,161.00",51.80,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,ROL
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary,Equity,"3,677,800.06",0.02,"3,677,800.06","84,218.00",43.67,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,LVS
HOLX,HOLOGIC INC,Health Care,Equity,"3,674,024.42",0.02,"3,674,024.42","59,431.00",61.82,United States,NASDAQ,USD,1.00,USD,-,HOLX
KPN,KONINKLIJKE KPN NV,Communication,Equity,"3,655,435.38",0.02,"3,655,435.38","884,516.00",4.13,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,KPN.AS
BURL,BURLINGTON STORES INC,Consumer Discretionary,Equity,"3,651,023.60",0.02,"3,651,023.60","15,596.00",234.10,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,BURL
EG,EVEREST GROUP LTD,Financials,Equity,"3,648,044.58",0.02,"3,648,044.58","9,993.00",365.06,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,EG
IEX,IDEX CORP,Industrials,Equity,"3,632,362.02",0.02,"3,632,362.02","19,678.00",184.59,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,IEX
J,JACOBS SOLUTIONS INC,Industrials,Equity,"3,620,118.99",0.02,"3,620,118.99","29,487.00",122.77,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,J
RPM,RPM INTERNATIONAL INC,Materials,Equity,"3,592,249.29",0.02,"3,592,249.29","30,933.00",116.13,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,RPM
AMCR,AMCOR PLC,Materials,Equity,"3,583,728.00",0.02,"3,583,728.00","364,200.00",9.84,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,AMCR
RVTY,REVVITY INC,Health Care,Equity,"3,546,190.04",0.02,"3,546,190.04","31,324.00",113.21,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,RVTY
TXT,TEXTRON INC,Industrials,Equity,"3,527,212.78",0.02,"3,527,212.78","47,269.00",74.62,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,TXT
TER,TERADYNE INC,Information Technology,Equity,"3,526,278.19",0.02,"3,526,278.19","39,107.00",90.17,United States,NASDAQ,USD,1.00,USD,-,TER
WPC,W. P. CAREY REIT INC,Real Estate,Equity,"3,513,923.64",0.02,"3,513,923.64","56,124.00",62.61,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,WPC
CF,CF INDUSTRIES HOLDINGS INC,Materials,Equity,"3,500,570.55",0.02,"3,500,570.55","45,035.00",77.73,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,CF
MT,ARCELORMITTAL SA,Materials,Equity,"3,499,130.72",0.02,"3,499,130.72","109,013.00",32.10,France,Euronext Amsterdam,USD,0.92,EUR,-,MT.AS
GGG,GRACO INC,Industrials,Equity,"3,490,724.38",0.02,"3,490,724.38","41,374.00",84.37,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,GGG
DT,DYNATRACE INC,Information Technology,Equity,"3,460,350.30",0.02,"3,460,350.30","68,685.00",50.38,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,DT
ZBRA,ZEBRA TECHNOLOGIES CORP CLASS A,Information Technology,Equity,"3,456,331.32",0.02,"3,456,331.32","12,116.00",285.27,United States,NASDAQ,USD,1.00,USD,-,ZBRA
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,"3,442,751.75",0.02,"3,442,751.75","76,933.00",44.75,United States,NASDAQ,USD,1.00,USD,-,WDC
KEY,KEYCORP,Financials,Equity,"3,423,638.80",0.02,"3,423,638.80","216,686.00",15.80,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,KEY
DOC,HEALTHPEAK PROPERTIES INC,Real Estate,Equity,"3,413,479.30",0.02,"3,413,479.30","166,430.00",20.51,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,DOC
NN,NN GROUP NV,Financials,Equity,"3,404,918.95",0.02,"3,404,918.95","62,603.00",54.39,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,NN.AS
UDR,UDR REIT INC,Real Estate,Equity,"3,402,016.40",0.02,"3,402,016.40","77,530.00",43.88,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,UDR
MDB,MONGODB INC CLASS A,Information Technology,Equity,"3,400,189.65",0.02,"3,400,189.65","17,613.00",193.05,United States,NASDAQ,USD,1.00,USD,-,MDB
UTHR,UNITED THERAPEUTICS CORP,Health Care,Equity,"3,363,097.16",0.02,"3,363,097.16","10,414.00",322.94,United States,NASDAQ,USD,1.00,USD,-,UTHR
KIM,KIMCO REALTY REIT CORP,Real Estate,Equity,"3,353,512.82",0.02,"3,353,512.82","161,693.00",20.74,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,KIM
TOST,TOAST INC CLASS A,Financials,Equity,"3,305,158.02",0.02,"3,305,158.02","94,894.00",34.83,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,TOST
ILMN,ILLUMINA INC,Health Care,Equity,"3,287,970.00",0.02,"3,287,970.00","38,375.00",85.68,United States,NASDAQ,USD,1.00,USD,-,ILMN
BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care,Equity,"3,266,615.25",0.02,"3,266,615.25","45,655.00",71.55,United States,NASDAQ,USD,1.00,USD,-,BMRN
CPT,CAMDEN PROPERTY TRUST REIT,Real Estate,Equity,"3,259,126.90",0.02,"3,259,126.90","27,130.00",120.13,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,CPT
FSLR,FIRST SOLAR INC,Information Technology,Equity,"3,255,643.19",0.02,"3,255,643.19","24,473.00",133.03,United States,NASDAQ,USD,1.00,USD,-,FSLR
DLTR,DOLLAR TREE INC,Consumer Staples,Equity,"3,221,802.09",0.02,"3,221,802.09","48,971.00",65.79,United States,NASDAQ,USD,1.00,USD,-,DLTR
JKHY,JACK HENRY AND ASSOCIATES INC,Financials,Equity,"3,180,383.31",0.02,"3,180,383.31","17,949.00",177.19,United States,NASDAQ,USD,1.00,USD,-,JKHY
ACM,AECOM,Industrials,Equity,"3,160,683.35",0.02,"3,160,683.35","33,065.00",95.59,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,ACM
ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,Equity,"3,151,274.93",0.02,"3,151,274.93","46,159.00",68.27,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,ELS
OC,OWENS CORNING,Industrials,Equity,"3,150,122.96",0.02,"3,150,122.96","21,716.00",145.06,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,OC
RPRX,ROYALTY PHARMA PLC CLASS A,Health Care,Equity,"3,130,956.40",0.02,"3,130,956.40","94,820.00",33.02,United States,NASDAQ,USD,1.00,USD,-,RPRX
BAP,CREDICORP LTD,Financials,Equity,"3,118,789.45",0.02,"3,118,789.45","16,345.00",190.81,Peru,New York Stock Exchange Inc.,USD,1.00,USD,-,BAP
HEI,HEICO CORP,Industrials,Equity,"3,108,426.00",0.02,"3,108,426.00","11,944.00",260.25,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,HEI
POOL,POOL CORP,Consumer Discretionary,Equity,"3,095,622.90",0.02,"3,095,622.90","9,465.00",327.06,United States,NASDAQ,USD,1.00,USD,-,POOL
CAG,CONAGRA BRANDS INC,Consumer Staples,Equity,"3,071,489.19",0.02,"3,071,489.19","117,817.00",26.07,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,CAG
JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,Equity,"3,068,114.88",0.02,"3,068,114.88","20,528.00",149.46,United States,NASDAQ,USD,1.00,USD,-,JBHT
AKAM,AKAMAI TECHNOLOGIES INC,Information Technology,Equity,"2,988,553.42",0.02,"2,988,553.42","36,098.00",82.79,United States,NASDAQ,USD,1.00,USD,-,AKAM
SWK,STANLEY BLACK & DECKER INC,Industrials,Equity,"2,966,299.70",0.02,"2,966,299.70","36,374.00",81.55,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,SWK
ALGN,ALIGN TECHNOLOGY INC,Health Care,Equity,"2,931,702.33",0.02,"2,931,702.33","17,287.00",169.59,United States,NASDAQ,USD,1.00,USD,-,ALGN
CNH,CNH INDUSTRIAL N.V. NV,Industrials,Equity,"2,911,345.11",0.02,"2,911,345.11","219,393.00",13.27,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,CNH
REG,REGENCY CENTERS REIT CORP,Real Estate,Equity,"2,908,486.74",0.02,"2,908,486.74","40,718.00",71.43,United States,NASDAQ,USD,1.00,USD,-,REG
AKZA,AKZO NOBEL NV,Materials,Equity,"2,894,700.06",0.02,"2,894,700.06","43,139.00",67.10,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,AKZA.AS
CHRW,CH ROBINSON WORLDWIDE INC,Industrials,Equity,"2,880,520.00",0.02,"2,880,520.00","28,520.00",101.00,United States,NASDAQ,USD,1.00,USD,-,CHRW
AIZ,ASSURANT INC,Financials,Equity,"2,877,275.38",0.02,"2,877,275.38","13,402.00",214.69,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,AIZ
AMH,AMERICAN HOMES RENT REIT CLASS A,Real Estate,Equity,"2,875,176.00",0.02,"2,875,176.00","79,866.00",36.00,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,AMH
ALLE,ALLEGION PLC,Industrials,Equity,"2,839,968.89",0.01,"2,839,968.89","22,297.00",127.37,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,ALLE
DKS,DICKS SPORTING INC,Consumer Discretionary,Equity,"2,838,573.50",0.01,"2,838,573.50","14,350.00",197.81,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,DKS
FOXA,FOX CORP CLASS A,Communication,Equity,"2,799,055.76",0.01,"2,799,055.76","53,356.00",52.46,United States,NASDAQ,USD,1.00,USD,-,FOXA
LKQ,LKQ CORP,Consumer Discretionary,Equity,"2,789,445.12",0.01,"2,789,445.12","66,038.00",42.24,United States,NASDAQ,USD,1.00,USD,-,LKQ
BVI,BUREAU VERITAS SA,Industrials,Equity,"2,782,441.48",0.01,"2,782,441.48","90,279.00",30.82,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,BVI.PA
Z,ZILLOW GROUP INC CLASS C,Real Estate,Equity,"2,766,021.54",0.01,"2,766,021.54","38,991.00",70.94,United States,NASDAQ,USD,1.00,USD,-,Z
KMX,CARMAX INC,Consumer Discretionary,Equity,"2,745,577.74",0.01,"2,745,577.74","38,202.00",71.87,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,KMX
JNPR,JUNIPER NETWORKS INC,Information Technology,Equity,"2,733,275.40",0.01,"2,733,275.40","75,714.00",36.10,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,JNPR
MRNA,MODERNA INC,Health Care,Equity,"2,727,442.38",0.01,"2,727,442.38","78,578.00",34.71,United States,NASDAQ,USD,1.00,USD,-,MRNA
SWKS,SKYWORKS SOLUTIONS INC,Information Technology,Equity,"2,723,611.62",0.01,"2,723,611.62","38,589.00",70.58,United States,NASDAQ,USD,1.00,USD,-,SWKS
SOLV,SOLVENTUM CORP,Health Care,Equity,"2,720,805.75",0.01,"2,720,805.75","36,205.00",75.15,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,SOLV
TAP,MOLSON COORS BREWING CLASS B,Consumer Staples,Equity,"2,718,671.04",0.01,"2,718,671.04","45,792.00",59.37,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,TAP
SJM,JM SMUCKER,Consumer Staples,Equity,"2,712,176.28",0.01,"2,712,176.28","24,244.00",111.87,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,SJM
AVTR,AVANTOR INC,Health Care,Equity,"2,678,516.36",0.01,"2,678,516.36","162,236.00",16.51,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,AVTR
ERIE,ERIE INDEMNITY CLASS A,Financials,Equity,"2,676,523.50",0.01,"2,676,523.50","6,294.00",425.25,United States,NASDAQ,USD,1.00,USD,-,ERIE
NBIX,NEUROCRINE BIOSCIENCES INC,Health Care,Equity,"2,657,937.00",0.01,"2,657,937.00","23,838.00",111.50,United States,NASDAQ,USD,1.00,USD,-,NBIX
CCK,CROWN HOLDINGS INC,Materials,Equity,"2,653,071.91",0.01,"2,653,071.91","29,423.00",90.17,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,CCK
MANH,MANHATTAN ASSOCIATES INC,Information Technology,Equity,"2,644,586.40",0.01,"2,644,586.40","15,056.00",175.65,United States,NASDAQ,USD,1.00,USD,-,MANH
EPAM,EPAM SYSTEMS INC,Information Technology,Equity,"2,640,972.04",0.01,"2,640,972.04","14,182.00",186.22,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,EPAM
RNO,RENAULT SA,Consumer Discretionary,Equity,"2,639,387.94",0.01,"2,639,387.94","50,118.00",52.66,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,RNO.PA
URW,UNIBAIL RODAMCO WE STAPLED UNITS,Real Estate,Equity,"2,616,799.31",0.01,"2,616,799.31","31,386.00",83.37,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,URW.PA
OVV,OVINTIV INC,Energy,Equity,"2,611,351.68",0.01,"2,611,351.68","63,552.00",41.09,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,OVV
INCY,INCYTE CORP,Health Care,Equity,"2,599,955.28",0.01,"2,599,955.28","41,928.00",62.01,United States,NASDAQ,USD,1.00,USD,-,INCY
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,Equity,"2,593,211.32",0.01,"2,593,211.32","14,854.00",174.58,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,UHS
NWSA,NEWS CORP CLASS A,Communication,Equity,"2,587,720.80",0.01,"2,587,720.80","95,312.00",27.15,United States,NASDAQ,USD,1.00,USD,-,NWSA
AGS,AGEAS SA,Financials,Equity,"2,588,650.03",0.01,"2,588,650.03","43,213.00",59.90,Belgium,Nyse Euronext - Euronext Brussels,USD,0.92,EUR,-,AGS.BR
PAYC,PAYCOM SOFTWARE INC,Industrials,Equity,"2,584,991.67",0.01,"2,584,991.67","11,967.00",216.01,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,PAYC
EDP,EDP ENERGIAS DE PORTUGAL SA,Utilities,Equity,"2,580,849.97",0.01,"2,580,849.97","757,401.00",3.41,Portugal,Nyse Euronext - Euronext Lisbon,USD,0.92,EUR,-,EDP.LS
HST,HOST HOTELS & RESORTS REIT INC,Real Estate,Equity,"2,573,658.90",0.01,"2,573,658.90","168,213.00",15.30,United States,NASDAQ,USD,1.00,USD,-,HST
WTRG,ESSENTIAL UTILITIES INC,Utilities,Equity,"2,569,926.50",0.01,"2,569,926.50","64,490.00",39.85,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,WTRG
PEO,BANK PEKAO SA,Financials,Equity,"2,570,143.59",0.01,"2,570,143.59","53,266.00",48.25,Poland,Warsaw Stock Exchange/Equities/Main Market,USD,3.83,PLN,-,PEO.WA
VTRS,VIATRIS INC,Health Care,Equity,"2,559,539.75",0.01,"2,559,539.75","276,707.00",9.25,United States,NASDAQ,USD,1.00,USD,-,VTRS
AGN,AEGON LTD,Financials,Equity,"2,552,403.20",0.01,"2,552,403.20","390,288.00",6.54,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,AGN.AS
HEIO,HEINEKEN HOLDING NV,Consumer Staples,Equity,"2,538,138.69",0.01,"2,538,138.69","33,828.00",75.03,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,HEIO.AS
NDSN,NORDSON CORP,Industrials,Equity,"2,535,323.12",0.01,"2,535,323.12","12,034.00",210.68,United States,NASDAQ,USD,1.00,USD,-,NDSN
FGR,EIFFAGE SA,Industrials,Equity,"2,513,856.54",0.01,"2,513,856.54","21,185.00",118.66,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,FGR.PA
ALO,ALSTOM SA,Industrials,Equity,"2,471,729.31",0.01,"2,471,729.31","93,250.00",26.51,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,ALO.PA
EMN,EASTMAN CHEMICAL,Materials,Equity,"2,469,524.40",0.01,"2,469,524.40","27,090.00",91.16,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,EMN
NLY,ANNALY CAPITAL MANAGEMENT REIT INC,Financials,Equity,"2,470,693.68",0.01,"2,470,693.68","113,127.00",21.84,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,NLY
IPG,INTERPUBLIC GROUP OF COMPANIES INC,Communication,Equity,"2,467,587.25",0.01,"2,467,587.25","94,075.00",26.23,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,IPG
BG,BUNGE GLOBAL SA,Consumer Staples,Equity,"2,458,509.90",0.01,"2,458,509.90","32,978.00",74.55,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,BG
BXP,BXP INC,Real Estate,Equity,"2,431,091.52",0.01,"2,431,091.52","35,418.00",68.64,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,BXP
WIX,WIX.COM LTD,Information Technology,Equity,"2,425,886.37",0.01,"2,425,886.37","13,863.00",174.99,Israel,NASDAQ,USD,1.00,USD,-,WIX
IOT,SAMSARA INC CLASS A,Information Technology,Equity,"2,423,818.48",0.01,"2,423,818.48","62,213.00",38.96,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,IOT
CG,CARLYLE GROUP INC,Financials,Equity,"2,402,076.52",0.01,"2,402,076.52","55,043.00",43.64,United States,NASDAQ,USD,1.00,USD,-,CG
ABN,ABN AMRO BANK NV,Financials,Equity,"2,396,023.90",0.01,"2,396,023.90","110,885.00",21.61,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,ABN.AS
AFG,AMERICAN FINANCIAL GROUP INC,Financials,Equity,"2,387,305.88",0.01,"2,387,305.88","18,869.00",126.52,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,AFG
ALLY,ALLY FINANCIAL INC,Financials,Equity,"2,370,883.45",0.01,"2,370,883.45","68,821.00",34.45,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,ALLY
MNDY,MONDAYCOM LTD,Information Technology,Equity,"2,364,199.81",0.01,"2,364,199.81","8,897.00",265.73,Israel,NASDAQ,USD,1.00,USD,-,MNDY
TECH,BIO TECHNE CORP,Health Care,Equity,"2,356,011.84",0.01,"2,356,011.84","37,648.00",62.58,United States,NASDAQ,USD,1.00,USD,-,TECH
TME,TENCENT MUSIC ENTERTAINMENT GROUP,Communication,Equity,"2,348,044.34",0.01,"2,348,044.34","179,789.00",13.06,China,New York Stock Exchange Inc.,USD,1.00,USD,-,TME
EXO,EXOR NV,Financials,Equity,"2,348,130.36",0.01,"2,348,130.36","23,836.00",98.51,Netherlands,Euronext Amsterdam,USD,0.92,EUR,-,EXO.AS
SEIC,SEI INVESTMENTS,Financials,Equity,"2,348,796.64",0.01,"2,348,796.64","31,334.00",74.96,United States,NASDAQ,USD,1.00,USD,-,SEIC
AC,ACCOR SA,Consumer Discretionary,Equity,"2,330,096.56",0.01,"2,330,096.56","46,890.00",49.69,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,AC.PA
PKN,ORLEN SA,Energy,Equity,"2,284,633.24",0.01,"2,284,633.24","129,359.00",17.66,Poland,Warsaw Stock Exchange/Equities/Main Market,USD,3.83,PLN,-,PKN.WA
SNAP,SNAP INC CLASS A,Communication,Equity,"2,275,467.89",0.01,"2,275,467.89","253,111.00",8.99,United States,New York Stock Exchange Inc.,USD,1.00,USD,-,SNAP
EDEN,EDENRED,Financials,Equity,"2,244,503.55",0.01,"2,244,503.55","64,303.00",34.90,France,Nyse Euronext - Euronext Paris,USD,0.92,EUR,-,EDEN.PA
PZU,PZU SA,Financials,Equity,"2,233,381.41",0.01,"2,233,381.41","151,221.00",14.77,Poland,Warsaw Stock Exchange/Equities/Main Market,USD,3.83,PLN,-,PZU.WA
