iShares MSCI ACWI ETF
Fund Holdings as of,"Mar 17, 2025"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"160,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","62,763,802.61","0.33","62,763,802.61","786,424.00","79.81","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.83","DKK","-"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","60,432,653.28","0.32","60,432,653.28","171,187.00","353.02","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","59,034,559.92","0.31","59,034,559.92","969,528.00","60.89","United States","NASDAQ","USD","1.00","USD","-"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","58,808,085.67","0.31","58,808,085.67","377,677.00","155.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","58,605,528.93","0.31","58,605,528.93","618,267.00","94.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WFC","WELLS FARGO","Financials","Equity","58,271,779.72","0.31","58,271,779.72","822,583.00","70.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AZN","ASTRAZENECA PLC","Health Care","Equity","57,314,242.82","0.30","57,314,242.82","370,804.00","154.57","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","56,874,992.13","0.30","56,874,992.13","224,829.00","252.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","54,061,283.80","0.28","54,061,283.80","423,545.00","127.64","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOVN","NOVARTIS AG","Health Care","Equity","53,861,166.07","0.28","53,861,166.07","481,391.00","111.89","Switzerland","SIX Swiss Exchange","USD","0.88","CHF","-"
"GE","GE AEROSPACE","Industrials","Equity","53,691,088.74","0.28","53,691,088.74","265,758.00","202.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","53,369,722.33","0.28","53,369,722.33","115,943.00","460.31","United States","NASDAQ","USD","1.00","USD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","52,913,577.75","0.28","52,913,577.75","174,075.00","303.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHEL","SHELL PLC","Energy","Equity","52,613,392.09","0.28","52,613,392.09","1,514,206.00","34.75","United Kingdom","London Stock Exchange","USD","0.77","GBP","-"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","50,636,909.47","0.27","50,636,909.47","4,443,200.00","11.40","United Kingdom","London Stock Exchange","USD","0.77","GBP","Jan 01, 1998"
"PEP","PEPSICO INC","Consumer Staples","Equity","49,898,160.06","0.26","49,898,160.06","329,709.00","151.34","United States","NASDAQ","USD","1.00","USD","-"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","49,383,173.07","0.26","49,383,173.07","151,617.00","325.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","48,255,063.75","0.25","48,255,063.75","92,875.00","519.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIE","SIEMENS N AG","Industrials","Equity","47,152,987.58","0.25","47,152,987.58","184,270.00","255.89","Germany","Xetra","USD","0.92","EUR","-"
"T","AT&T INC","Communication","Equity","46,328,461.03","0.24","46,328,461.03","1,726,741.00","26.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","45,648,736.01","0.24","45,648,736.01","1,147,400.00","39.78","Korea (South)","Korea Exchange (Stock Market)","USD","1,447.80","KRW","-"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","44,900,345.80","0.24","44,900,345.80","514,028.00","87.35","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","44,487,818.10","0.23","44,487,818.10","1,019,194.00","43.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MC","LVMH","Consumer Discretionary","Equity","44,154,092.54","0.23","44,154,092.54","66,309.00","665.88","France","Nyse Euronext - Euronext Paris","USD","0.92","EUR","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","43,888,540.37","0.23","43,888,540.37","2,362,000.00","18.58","Japan","Tokyo Stock Exchange","USD","148.57","JPY","-"
"DIS","WALT DISNEY","Communication","Equity","43,644,078.72","0.23","43,644,078.72","439,252.00","99.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","42,869,841.30","0.23","42,869,841.30","271,414.00","157.95","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","42,743,116.00","0.23","42,743,116.00","87,445.00","488.80","United States","NASDAQ","USD","1.00","USD","-"
